function,instrCount,basicBlocks,loopDepth,phiNodes,memOps,typeComplexity,compileTime_ms
add,8,1,0,0,4,3,1
sumArray,28,5,1,0,14,6,4
matMul,75,13,3,0,32,6,11
fibonacci,39,8,1,0,21,5,6
copyArray,29,5,1,0,14,6,4
classify,27,10,0,0,11,5,4
dot,30,1,0,0,10,7,3
normalize,51,3,0,0,29,6,4
transformPoints,51,5,1,0,25,7,4
searchMatrix,51,12,2,0,22,6,4
gcd,20,4,1,0,11,5,1
isPrime,33,10,1,0,14,5,2
bubbleSort,72,11,2,0,33,6,5
binarySearch,58,10,1,0,28,6,4
prefixSum,42,5,1,0,21,6,3
deepNest,56,13,3,0,23,6,5
tensorOp,74,13,3,0,30,7,6
maxIn3D,71,15,3,0,29,6,6
